budget_type,vacation_type,travel_mode,destination_chosen
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Medium,Urban Entertainment & Nightlife,Train,Hamburg
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Zürich
Cheap,Relaxation & Wellness,Plane,Moscow
Medium,Cultural & Historical Exploration,Plane,Madrid
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Rome
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Relaxation & Wellness,Train,Athens
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Minsk
Medium,Urban Entertainment & Nightlife,Plane,Newcastle upon Tyne
Medium,Relaxation & Wellness,Plane,Leicester
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,London
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Belfast
Medium,Cultural & Historical Exploration,Plane,Budapest
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Milan
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Cheap,Cultural & Historical Exploration,Train,Sarajevo
Medium,Urban Entertainment & Nightlife,Plane,Birmingham
Expensive,Cultural & Historical Exploration,Plane,Rome
Cheap,Urban Entertainment & Nightlife,Train,Vienna
Medium,Urban Entertainment & Nightlife,Train,Bristol
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Medium,Urban Entertainment & Nightlife,Train,Hamburg
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,London
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Prague
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Moscow
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Cultural & Historical Exploration,Plane,Istanbul
Medium,Urban Entertainment & Nightlife,Train,Bradford
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Paris
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Relaxation & Wellness,Plane,Sheffield
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Urban Entertainment & Nightlife,Train,Manchester
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Cultural & Historical Exploration,Train,Vilnius
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Plane,Sheffield
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Train,Birmingham
Expensive,Cultural & Historical Exploration,Plane,Rome
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Moscow
Expensive,Urban Entertainment & Nightlife,Train,Basel
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Cheap,Relaxation & Wellness,Plane,Edinburgh
Expensive,Relaxation & Wellness,Train,Tbilisi
Cheap,Urban Entertainment & Nightlife,Train,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Kraków
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Cheap,Urban Entertainment & Nightlife,Train,Prague
Medium,Urban Entertainment & Nightlife,Plane,Nottingham
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Medium,Cultural & Historical Exploration,Plane,Istanbul
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Relaxation & Wellness,Plane,Kraków
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Cultural & Historical Exploration,Train,Minsk
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Cultural & Historical Exploration,Plane,Baku
Medium,Nature & Outdoor Adventure,Train,Oslo
Medium,Relaxation & Wellness,Plane,Madrid
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Train,Hamburg
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Cultural & Historical Exploration,Plane,Warsaw
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Plane,Belgrade
Cheap,Cultural & Historical Exploration,Train,Bucharest
Medium,Cultural & Historical Exploration,Plane,Budapest
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Rome
Expensive,Nature & Outdoor Adventure,Plane,Moscow
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Train,Hamburg
Medium,Cultural & Historical Exploration,Plane,Athens
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Cheap,Urban Entertainment & Nightlife,Plane,Birmingham
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Cultural & Historical Exploration,Plane,Istanbul
Cheap,Cultural & Historical Exploration,Train,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Newcastle upon Tyne
Cheap,Urban Entertainment & Nightlife,Train,Paris
Expensive,Nature & Outdoor Adventure,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Nature & Outdoor Adventure,Train,Minsk
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Cheap,Urban Entertainment & Nightlife,Train,Antwerp
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Relaxation & Wellness,Plane,Glasgow
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Expensive,Cultural & Historical Exploration,Plane,Dublin
Medium,Urban Entertainment & Nightlife,Plane,Milan
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Zagreb
Medium,Cultural & Historical Exploration,Plane,Munich
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Munich
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Train,Chisinau
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Expensive,Urban Entertainment & Nightlife,Train,Berlin
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Milan
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Medium,Cultural & Historical Exploration,Plane,Madrid
Medium,Cultural & Historical Exploration,Plane,Munich
Medium,Urban Entertainment & Nightlife,Plane,Milan
Medium,Urban Entertainment & Nightlife,Plane,Manchester
Cheap,Urban Entertainment & Nightlife,Train,Riga
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Cheap,Cultural & Historical Exploration,Train,Minsk
Medium,Urban Entertainment & Nightlife,Plane,Newcastle upon Tyne
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Nature & Outdoor Adventure,Train,Kyiv
Medium,Urban Entertainment & Nightlife,Plane,Nottingham
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Manchester
Medium,Nature & Outdoor Adventure,Train,Budapest
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Milan
Medium,Cultural & Historical Exploration,Plane,Munich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Budapest
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Warsaw
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Prague
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Nature & Outdoor Adventure,Train,Kraków
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Urban Entertainment & Nightlife,Plane,Manchester
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Cheap,Cultural & Historical Exploration,Plane,Leeds
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Relaxation & Wellness,Plane,Helsinki
Medium,Urban Entertainment & Nightlife,Train,Glasgow
Expensive,Cultural & Historical Exploration,Plane,Rome
Cheap,Relaxation & Wellness,Plane,Sofia
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Medium,Cultural & Historical Exploration,Plane,Budapest
Expensive,Cultural & Historical Exploration,Plane,Rome
Expensive,Nature & Outdoor Adventure,Train,Liverpool
Cheap,Relaxation & Wellness,Plane,Saint Petersburg
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Nature & Outdoor Adventure,Train,Moscow
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Medium,Cultural & Historical Exploration,Plane,Vienna
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Cultural & Historical Exploration,Plane,Warsaw
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Cheap,Urban Entertainment & Nightlife,Train,Birmingham
Cheap,Cultural & Historical Exploration,Train,Ljubljana
Cheap,Urban Entertainment & Nightlife,Train,Antwerp
Cheap,Urban Entertainment & Nightlife,Train,Baku
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Expensive,Cultural & Historical Exploration,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Belfast
Medium,Cultural & Historical Exploration,Plane,Bucharest
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Bristol
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Moscow
Cheap,Urban Entertainment & Nightlife,Train,Riga
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Cultural & Historical Exploration,Train,Minsk
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Cultural & Historical Exploration,Train,Tirana
Cheap,Urban Entertainment & Nightlife,Plane,Vilnius
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Minsk
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Cultural & Historical Exploration,Plane,Athens
Cheap,Urban Entertainment & Nightlife,Train,Kraków
Medium,Nature & Outdoor Adventure,Train,Kyiv
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Cultural & Historical Exploration,Plane,Athens
Expensive,Cultural & Historical Exploration,Plane,Moscow
Expensive,Cultural & Historical Exploration,Plane,Paris
Expensive,Cultural & Historical Exploration,Plane,Paris
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Medium,Cultural & Historical Exploration,Plane,Milan
Expensive,Nature & Outdoor Adventure,Train,Glasgow
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Nature & Outdoor Adventure,Train,Skopje
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Cultural & Historical Exploration,Plane,Athens
Expensive,Relaxation & Wellness,Plane,Belgrade
Cheap,Relaxation & Wellness,Plane,Edinburgh
Medium,Cultural & Historical Exploration,Plane,Budapest
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Cheap,Relaxation & Wellness,Plane,Bradford
Medium,Cultural & Historical Exploration,Plane,Istanbul
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Copenhagen
Cheap,Cultural & Historical Exploration,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Milan
Cheap,Relaxation & Wellness,Plane,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Lisbon
Medium,Cultural & Historical Exploration,Plane,Athens
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Medium,Urban Entertainment & Nightlife,Train,Hamburg
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Expensive,Cultural & Historical Exploration,Plane,London
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Cardiff
Cheap,Urban Entertainment & Nightlife,Train,Amsterdam
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Cheap,Urban Entertainment & Nightlife,Train,Warsaw
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Train,Hamburg
Cheap,Relaxation & Wellness,Plane,Milan
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Geneva
Cheap,Urban Entertainment & Nightlife,Train,Sofia
Medium,Cultural & Historical Exploration,Plane,Munich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Saint Petersburg
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Vienna
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Munich
Medium,Cultural & Historical Exploration,Plane,Milan
Cheap,Cultural & Historical Exploration,Train,Tirana
Expensive,Nature & Outdoor Adventure,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Train,Hamburg
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Sarajevo
Cheap,Relaxation & Wellness,Plane,Chisinau
Medium,Cultural & Historical Exploration,Plane,Athens
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Cultural & Historical Exploration,Train,Sarajevo
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Expensive,Urban Entertainment & Nightlife,Plane,Moscow
Medium,Nature & Outdoor Adventure,Train,Sarajevo
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Prague
Medium,Urban Entertainment & Nightlife,Plane,Manchester
Medium,Urban Entertainment & Nightlife,Train,Belfast
Medium,Urban Entertainment & Nightlife,Train,Antwerp
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Belgrade
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Sarajevo
Cheap,Relaxation & Wellness,Plane,Antwerp
Medium,Urban Entertainment & Nightlife,Plane,Nottingham
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Expensive,Cultural & Historical Exploration,Plane,Rome
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Liverpool
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Cultural & Historical Exploration,Plane,Istanbul
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Cultural & Historical Exploration,Plane,Basel
Expensive,Urban Entertainment & Nightlife,Train,Hamburg
Medium,Nature & Outdoor Adventure,Train,Nottingham
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Cultural & Historical Exploration,Train,Skopje
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Cultural & Historical Exploration,Plane,Istanbul
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Cultural & Historical Exploration,Plane,Budapest
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Chisinau
Medium,Urban Entertainment & Nightlife,Plane,Bristol
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Vienna
Medium,Nature & Outdoor Adventure,Train,Saint Petersburg
Medium,Urban Entertainment & Nightlife,Plane,Newcastle upon Tyne
Medium,Cultural & Historical Exploration,Plane,Munich
Expensive,Relaxation & Wellness,Plane,Sheffield
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Urban Entertainment & Nightlife,Train,Nottingham
Expensive,Urban Entertainment & Nightlife,Plane,Kyiv
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Expensive,Cultural & Historical Exploration,Plane,Basel
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Ljubljana
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Nature & Outdoor Adventure,Train,Bucharest
Medium,Cultural & Historical Exploration,Plane,Budapest
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Vienna
Cheap,Relaxation & Wellness,Plane,Vienna
Medium,Urban Entertainment & Nightlife,Train,Belfast
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Plane,Cardiff
Medium,Cultural & Historical Exploration,Plane,Milan
Expensive,Cultural & Historical Exploration,Plane,London
Expensive,Cultural & Historical Exploration,Plane,London
Expensive,Cultural & Historical Exploration,Plane,London
Cheap,Urban Entertainment & Nightlife,Train,Copenhagen
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Medium,Cultural & Historical Exploration,Plane,Milan
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Cultural & Historical Exploration,Train,Belgrade
Medium,Cultural & Historical Exploration,Plane,Vienna
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Istanbul
Medium,Cultural & Historical Exploration,Plane,Warsaw
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Nottingham
Cheap,Relaxation & Wellness,Plane,Paris
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Medium,Urban Entertainment & Nightlife,Train,Dublin
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Medium,Nature & Outdoor Adventure,Train,Birmingham
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Train,Antwerp
Medium,Relaxation & Wellness,Train,Bristol
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Cheap,Cultural & Historical Exploration,Train,Belgrade
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Medium,Nature & Outdoor Adventure,Train,Prague
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Medium,Cultural & Historical Exploration,Train,Belfast
Cheap,Cultural & Historical Exploration,Train,Tirana
Medium,Cultural & Historical Exploration,Train,Berlin
Medium,Cultural & Historical Exploration,Plane,Vienna
Medium,Nature & Outdoor Adventure,Train,Madrid
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Medium,Nature & Outdoor Adventure,Train,Birmingham
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Medium,Nature & Outdoor Adventure,Train,Warsaw
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Dublin
Cheap,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Train,Zagreb
Cheap,Relaxation & Wellness,Plane,Cardiff
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Bucharest
Medium,Urban Entertainment & Nightlife,Train,Leeds
Medium,Cultural & Historical Exploration,Plane,Munich
Cheap,Relaxation & Wellness,Plane,Oslo
Medium,Cultural & Historical Exploration,Plane,Milan
Cheap,Cultural & Historical Exploration,Train,Bucharest
Cheap,Cultural & Historical Exploration,Train,Bucharest
Cheap,Urban Entertainment & Nightlife,Train,Basel
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Train,Bristol
Cheap,Relaxation & Wellness,Plane,Vilnius
Medium,Cultural & Historical Exploration,Plane,Milan
Medium,Cultural & Historical Exploration,Plane,Milan
Expensive,Cultural & Historical Exploration,Plane,Cardiff
Medium,Urban Entertainment & Nightlife,Train,Berlin
Cheap,Urban Entertainment & Nightlife,Train,Bradford
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Milan
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Relaxation & Wellness,Plane,Basel
Expensive,Cultural & Historical Exploration,Plane,Rome
